"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Regulation of TP53 Activity through Phosphorylation	Reactome	R-HSA-6804756	2	92	0.065052704	0.112469936	RBBP8|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804756
Fc gamma R-mediated phagocytosis	KEGG PATHWAY	hsa04666	2	94	0.067484253	0.114870012	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:5290%09red/hsa:8503%09red
Mitochondrial biogenesis	Reactome	R-HSA-1592230	2	94	0.067484253	0.114870012	MAML2|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592230
Plasminogen activating cascade	PANTHER	P00050	1	15	0.068349446	0.114870012	SERPINB2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00050
General transcription by RNA polymerase I	PANTHER	P00022	1	15	0.068349446	0.114870012	PTRF	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00022
Signaling by cytosolic FGFR1 fusion mutants	Reactome	R-HSA-1839117	1	15	0.068349446	0.114870012	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839117
Constitutive Signaling by NOTCH1 HD Domain Mutants	Reactome	R-HSA-2691232	1	15	0.068349446	0.114870012	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691232
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	Reactome	R-HSA-975110	1	15	0.068349446	0.114870012	IRF7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975110
PI-3K cascade:FGFR1	Reactome	R-HSA-5654689	1	15	0.068349446	0.114870012	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654689
Regulation of innate immune responses to cytosolic DNA	Reactome	R-HSA-3134975	1	15	0.068349446	0.114870012	IRF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134975
IRAK1 recruits IKK complex	Reactome	R-HSA-937039	1	15	0.068349446	0.114870012	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937039
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	Reactome	R-HSA-975144	1	15	0.068349446	0.114870012	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975144
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	Reactome	R-HSA-8866910	1	15	0.068349446	0.114870012	TFAP2C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866910
Signaling by NOTCH1 HD Domain Mutants in Cancer	Reactome	R-HSA-2691230	1	15	0.068349446	0.114870012	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691230
Apoptotic factor-mediated response	Reactome	R-HSA-111471	1	15	0.068349446	0.114870012	BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111471
The NLRP3 inflammasome	Reactome	R-HSA-844456	1	15	0.068349446	0.114870012	SUGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-844456
"D-myo-inositol (1,3,4)-trisphosphate biosynthesis"	BioCyc	PWY-6364	1	15	0.068349446	0.114870012	PTEN	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6364
G2/M DNA damage checkpoint	Reactome	R-HSA-69473	2	95	0.068711242	0.115124268	RBBP8|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69473
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	3	210	0.068739828	0.115124268	SIPA1L1|PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:5290%09red/hsa:8503%09red/hsa:26037%09red
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	Reactome	R-HSA-8936459	2	96	0.069945589	0.116940282	CBFB|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8936459
Phospholipid metabolism	Reactome	R-HSA-1483257	3	212	0.070265244	0.11727111	PIK3CA|PIK3R3|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483257
p75 NTR receptor-mediated signalling	Reactome	R-HSA-193704	2	97	0.071187206	0.118275388	LINGO1|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193704
Signaling by NTRKs	Reactome	R-HSA-166520	2	97	0.071187206	0.118275388	PIK3CA|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166520
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	2	98	0.072436006	0.118275388	UBE2I|RBBP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607
Thiamine metabolism	KEGG PATHWAY	hsa00730	1	16	0.072463633	0.118275388	AK1	http://www.genome.jp/kegg-bin/show_pathway?hsa00730/hsa:203%09red
Chaperone Mediated Autophagy	Reactome	R-HSA-9613829	1	16	0.072463633	0.118275388	GFAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9613829
MECP2 regulates neuronal receptors and channels	Reactome	R-HSA-9022699	1	16	0.072463633	0.118275388	FKBP5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9022699
GAB1 signalosome	Reactome	R-HSA-180292	1	16	0.072463633	0.118275388	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180292
Polo-like kinase mediated events	Reactome	R-HSA-156711	1	16	0.072463633	0.118275388	FOXM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156711
MAP3K8 (TPL2)-dependent MAPK1/3 activation	Reactome	R-HSA-5684264	1	16	0.072463633	0.118275388	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684264
Assembly Of The HIV Virion	Reactome	R-HSA-175474	1	16	0.072463633	0.118275388	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-175474
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	1	16	0.072463633	0.118275388	IRF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941
Glycogen synthesis	Reactome	R-HSA-3322077	1	16	0.072463633	0.118275388	PGM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3322077
Choline metabolism in cancer	KEGG PATHWAY	hsa05231	2	99	0.073691902	0.120076652	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa05231/hsa:5290%09red/hsa:8503%09red
Inflammatory mediator regulation of TRP channels	KEGG PATHWAY	hsa04750	2	100	0.074954807	0.121722562	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04750/hsa:5290%09red/hsa:8503%09red
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	2	100	0.074954807	0.121722562	CCL18|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:7124%09red/hsa:6362%09red
PI-3K cascade:FGFR4	Reactome	R-HSA-5654720	1	17	0.076559756	0.123083547	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654720
FOXO-mediated transcription of cell cycle genes	Reactome	R-HSA-9617828	1	17	0.076559756	0.123083547	FOXO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9617828
Tie2 Signaling	Reactome	R-HSA-210993	1	17	0.076559756	0.123083547	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210993
Regulation of RUNX1 Expression and Activity	Reactome	R-HSA-8934593	1	17	0.076559756	0.123083547	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8934593
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Reactome	R-HSA-450385	1	17	0.076559756	0.123083547	BRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450385
Regulation of necroptotic cell death	Reactome	R-HSA-5675482	1	17	0.076559756	0.123083547	BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675482
ABC-family proteins mediated transport	Reactome	R-HSA-382556	2	102	0.077501307	0.124389597	VCP|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-382556
FGF signaling pathway	PANTHER	P00021	2	103	0.078784731	0.126029396	PIK3CA|MAP3K4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00021
tRNA processing	Reactome	R-HSA-72306	2	103	0.078784731	0.126029396	XPOT|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72306
Vesicle-mediated transport	Reactome	R-HSA-5653656	6	669	0.079693173	0.127271186	CD55|COPS2|TRAPPC3|TRAPPC6A|TRIP11|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5653656
Positive epigenetic regulation of rRNA expression	Reactome	R-HSA-5250913	2	104	0.080074827	0.127511151	EHMT2|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250913
Diseases associated with glycosylation precursor biosynthesis	Reactome	R-HSA-5609975	1	18	0.080637893	0.127511151	PGM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5609975
Signaling by FGFR3 point mutants in cancer	Reactome	R-HSA-8853338	1	18	0.080637893	0.127511151	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853338
RORA activates gene expression	Reactome	R-HSA-1368082	1	18	0.080637893	0.127511151	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1368082
PI-3K cascade:FGFR2	Reactome	R-HSA-5654695	1	18	0.080637893	0.127511151	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654695
Signaling by FGFR3 in disease	Reactome	R-HSA-5655332	1	18	0.080637893	0.127511151	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655332
@@Signaling by FGFR3	Reactome	R-HSA-5654741	1	33	0.139704278	0.188424677	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654741
Cargo recognition for clathrin-mediated endocytosis	Reactome	R-HSA-8856825	2	105	0.081371512	0.128460272	COPS2|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856825
Glucagon signaling pathway	KEGG PATHWAY	hsa04922	2	106	0.082674702	0.13030399	FOXO1|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04922/hsa:1387%09red/hsa:2308%09red
Axon guidance mediated by semaphorins	PANTHER	P00007	1	19	0.084698123	0.130921818	FRK	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00007
Steroid biosynthesis	KEGG PATHWAY	hsa00100	1	19	0.084698123	0.130921818	DHCR24	http://www.genome.jp/kegg-bin/show_pathway?hsa00100/hsa:1718%09red
Listeria monocytogenes entry into host cells	Reactome	R-HSA-8876384	1	19	0.084698123	0.130921818	SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876384
Protein methylation	Reactome	R-HSA-8876725	1	19	0.084698123	0.130921818	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876725
Regulated Necrosis	Reactome	R-HSA-5218859	1	19	0.084698123	0.130921818	BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218859
Downstream signaling of activated FGFR3	Reactome	R-HSA-5654708	1	19	0.084698123	0.130921818	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654708
RIPK1-mediated regulated necrosis	Reactome	R-HSA-5213460	1	19	0.084698123	0.130921818	BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5213460
Phase 4 - resting membrane potential	Reactome	R-HSA-5576886	1	19	0.084698123	0.130921818	KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5576886
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	Reactome	R-HSA-176407	1	19	0.084698123	0.130921818	CDC14A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176407
Regulation of TLR by endogenous ligand	Reactome	R-HSA-5686938	1	19	0.084698123	0.130921818	CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5686938
Translesion Synthesis by POLH	Reactome	R-HSA-110320	1	19	0.084698123	0.130921818	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110320
3-phosphoinositide degradation	BioCyc	PWY-6368	1	19	0.084698123	0.130921818	PTEN	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6368
TCF dependent signaling in response to WNT	Reactome	R-HSA-201681	3	232	0.086338432	0.133243446	PSMD4|SOX9|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201681
Signaling by the B Cell Receptor (BCR)	Reactome	R-HSA-983705	2	110	0.087950893	0.13521697	PSMD4|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983705
Hedgehog signaling pathway	PANTHER	P00025	1	20	0.088740524	0.13521697	CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00025
Inflammasomes	Reactome	R-HSA-622312	1	20	0.088740524	0.13521697	SUGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-622312
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	Reactome	R-HSA-141405	1	20	0.088740524	0.13521697	MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141405
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	Reactome	R-HSA-381771	1	20	0.088740524	0.13521697	CDX2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381771
Negative regulation of MET activity	Reactome	R-HSA-6807004	1	20	0.088740524	0.13521697	SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807004
Inactivation of APC/C via direct inhibition of the APC/C complex	Reactome	R-HSA-141430	1	20	0.088740524	0.13521697	MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141430
"superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism"	BioCyc	PWY-6358	1	20	0.088740524	0.13521697	PTEN	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6358
Cholinergic synapse	KEGG PATHWAY	hsa04725	2	112	0.090625922	0.1376542	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04725/hsa:5290%09red/hsa:8503%09red
Leukocyte transendothelial migration	KEGG PATHWAY	hsa04670	2	112	0.090625922	0.1376542	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04670/hsa:5290%09red/hsa:8503%09red
p53 pathway by glucose deprivation	PANTHER	P04397	1	21	0.092765175	0.140460477	TP53	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04397
CD209 (DC-SIGN) signaling	Reactome	R-HSA-5621575	1	21	0.092765175	0.140460477	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621575
EGF receptor signaling pathway	PANTHER	P00018	2	114	0.093324731	0.141085896	PIK3CA|MAP3K4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00018
Processing of Capped Intron-Containing Pre-mRNA	Reactome	R-HSA-72203	3	241	0.094036222	0.141938687	DDX5|THOC1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72203
Other types of O-glycan biosynthesis	KEGG PATHWAY	hsa00514	1	22	0.096772152	0.144483073	PLOD3	http://www.genome.jp/kegg-bin/show_pathway?hsa00514/hsa:8985%09red
Initial triggering of complement	Reactome	R-HSA-166663	1	22	0.096772152	0.144483073	MBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166663
RNA Polymerase III Transcription Termination	Reactome	R-HSA-73980	1	22	0.096772152	0.144483073	NFIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73980
E2F mediated regulation of DNA replication	Reactome	R-HSA-113510	1	22	0.096772152	0.144483073	RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113510
Transcriptional regulation of pluripotent stem cells	Reactome	R-HSA-452723	1	22	0.096772152	0.144483073	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-452723
Signaling by NTRK2 (TRKB)	Reactome	R-HSA-9006115	1	22	0.096772152	0.144483073	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006115
adenosine ribonucleotides de novo biosynthesis	BioCyc	PWY-7219	1	22	0.096772152	0.144483073	AK1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7219
Protein export	KEGG PATHWAY	hsa03060	1	23	0.100761532	0.148824165	SRPRB	http://www.genome.jp/kegg-bin/show_pathway?hsa03060/hsa:58477%09red
Downstream signaling of activated FGFR4	Reactome	R-HSA-5654716	1	23	0.100761532	0.148824165	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654716
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	Reactome	R-HSA-450321	1	23	0.100761532	0.148824165	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450321
Growth hormone receptor signaling	Reactome	R-HSA-982772	1	23	0.100761532	0.148824165	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-982772
"Incretin synthesis, secretion, and inactivation"	Reactome	R-HSA-400508	1	23	0.100761532	0.148824165	CDX2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400508
Nephrin family interactions	Reactome	R-HSA-373753	1	23	0.100761532	0.148824165	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373753
Nucleotide salvage	Reactome	R-HSA-8956321	1	23	0.100761532	0.148824165	HPRT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8956321
Downstream signaling of activated FGFR2	Reactome	R-HSA-5654696	1	24	0.104733393	0.152584353	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654696
Cholesterol biosynthesis	Reactome	R-HSA-191273	1	24	0.104733393	0.152584353	DHCR24	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-191273
activated TAK1 mediates p38 MAPK activation	Reactome	R-HSA-450302	1	24	0.104733393	0.152584353	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450302
Downstream signaling of activated FGFR1	Reactome	R-HSA-5654687	1	24	0.104733393	0.152584353	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654687
SUMOylation of intracellular receptors	Reactome	R-HSA-4090294	1	24	0.104733393	0.152584353	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4090294
HSF1-dependent transactivation	Reactome	R-HSA-3371571	1	24	0.104733393	0.152584353	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371571
Role of phospholipids in phagocytosis	Reactome	R-HSA-2029485	1	24	0.104733393	0.152584353	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029485
Signaling by Erythropoietin	Reactome	R-HSA-9006335	1	24	0.104733393	0.152584353	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006335
superpathway of cholesterol biosynthesis	BioCyc	PWY66-5	1	24	0.104733393	0.152584353	DHCR24	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-5
Rab regulation of trafficking	Reactome	R-HSA-9007101	2	123	0.105747216	0.153596635	TRAPPC6A|TRAPPC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9007101
Host Interactions of HIV factors	Reactome	R-HSA-162909	2	123	0.105747216	0.153596635	PSMD4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162909
Platelet activation	KEGG PATHWAY	hsa04611	2	124	0.107154064	0.155405668	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04611/hsa:5290%09red/hsa:8503%09red
FGFR1 mutant receptor activation	Reactome	R-HSA-1839124	1	25	0.108687811	0.156218451	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839124
Constitutive Signaling by AKT1 E17K in Cancer	Reactome	R-HSA-5674400	1	25	0.108687811	0.156218451	FOXO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674400
Activation of G protein gated Potassium channels	Reactome	R-HSA-1296041	1	25	0.108687811	0.156218451	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296041
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	Reactome	R-HSA-997272	1	25	0.108687811	0.156218451	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-997272
G protein gated Potassium channels	Reactome	R-HSA-1296059	1	25	0.108687811	0.156218451	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296059
APC-Cdc20 mediated degradation of Nek2A	Reactome	R-HSA-179409	1	25	0.108687811	0.156218451	MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179409
DNA Replication	Reactome	R-HSA-69306	2	126	0.10998283	0.15784421	PSMD4|E2F3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69306
Miscellaneous transport and binding events	Reactome	R-HSA-5223345	1	26	0.112624862	0.16139545	ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5223345
Relaxin signaling pathway	KEGG PATHWAY	hsa04926	2	130	0.115698663	0.165534619	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04926/hsa:5290%09red/hsa:8503%09red
Downregulation of ERBB2 signaling	Reactome	R-HSA-8863795	1	27	0.116544622	0.165534619	CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8863795
RNA Pol II CTD phosphorylation and interaction with CE	Reactome	R-HSA-77075	1	27	0.116544622	0.165534619	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77075
Downstream signal transduction	Reactome	R-HSA-186763	1	27	0.116544622	0.165534619	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186763
DAP12 signaling	Reactome	R-HSA-2424491	1	27	0.116544622	0.165534619	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2424491
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	Reactome	R-HSA-167160	1	27	0.116544622	0.165534619	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167160
De novo purine biosynthesis	PANTHER	P02738	1	28	0.120447167	0.169576933	AK1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02738
Regulation of Glucokinase by Glucokinase Regulatory Protein	Reactome	R-HSA-170822	1	28	0.120447167	0.169576933	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170822
NEP/NS2 Interacts with the Cellular Export Machinery	Reactome	R-HSA-168333	1	28	0.120447167	0.169576933	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168333
Transport of Ribonucleoproteins into the Host Nucleus	Reactome	R-HSA-168271	1	28	0.120447167	0.169576933	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168271
Synthesis of IP3 and IP4 in the cytosol	Reactome	R-HSA-1855204	1	28	0.120447167	0.169576933	PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1855204
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	Reactome	R-HSA-5619107	1	28	0.120447167	0.169576933	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619107
Spliceosome	KEGG PATHWAY	hsa03040	2	135	0.122947068	0.172843835	DDX5|THOC1	http://www.genome.jp/kegg-bin/show_pathway?hsa03040/hsa:9984%09red/hsa:1655%09red
Glycogen metabolism	Reactome	R-HSA-8982491	1	29	0.124332572	0.173776874	PGM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8982491
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"	Reactome	R-HSA-9615017	1	29	0.124332572	0.173776874	FOXO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9615017
TNFs bind their physiological receptors	Reactome	R-HSA-5669034	1	29	0.124332572	0.173776874	EDAR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5669034
mRNA Capping	Reactome	R-HSA-72086	1	29	0.124332572	0.173776874	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72086
Pentose phosphate pathway	KEGG PATHWAY	hsa00030	1	30	0.12820091	0.177636657	PGM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:5236%09red
Regulation of TP53 Activity through Acetylation	Reactome	R-HSA-6804758	1	30	0.12820091	0.177636657	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804758
Vpr-mediated nuclear import of PICs	Reactome	R-HSA-180910	1	30	0.12820091	0.177636657	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180910
Export of Viral Ribonucleoproteins from Nucleus	Reactome	R-HSA-168274	1	30	0.12820091	0.177636657	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168274
Activation of BH3-only proteins	Reactome	R-HSA-114452	1	30	0.12820091	0.177636657	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114452
Nuclear import of Rev protein	Reactome	R-HSA-180746	1	30	0.12820091	0.177636657	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180746
Cardiac conduction	Reactome	R-HSA-5576891	2	141	0.131786075	0.180890932	KAT2B|KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5576891
